Id,Weekly_Sales
1_1_2012-11-02,30226.804170988562
1_1_2012-11-09,26954.649700818885
1_1_2012-11-16,22787.42371067819
1_1_2012-11-23,15135.558802415238
1_1_2012-11-30,20984.403018247973
1_1_2012-12-07,32115.273680440216
1_1_2012-12-14,38562.81864364957
1_1_2012-12-21,41338.17399498086
1_1_2012-12-28,24402.936147239987
1_1_2013-01-04,19062.1167238444
1_1_2013-01-11,16486.925357147542
1_1_2013-01-18,18384.842518598343
1_1_2013-01-25,16805.697341139963
1_1_2013-02-01,27757.773076965666
1_1_2013-02-08,26006.5245980502
1_1_2013-02-15,35978.968870552344
1_1_2013-02-22,22266.04721266089
1_1_2013-03-01,23518.573675815744
1_1_2013-03-08,22801.109650062648
1_1_2013-03-15,25584.55275555609
1_1_2013-03-22,25402.76796879678
1_1_2013-03-29,24665.093084095035
1_1_2013-04-05,28050.600955114638
1_1_2013-04-12,24144.693297979284
1_1_2013-04-19,21533.368657259678
1_1_2013-04-26,23400.4597758578
1_1_2013-05-03,21606.70763231561
1_1_2013-05-10,23346.373604822667
1_1_2013-05-17,18326.30234038034
1_1_2013-05-24,18188.374657073717
1_1_2013-05-31,16920.498703495326
1_1_2013-06-07,19828.619661803077
1_1_2013-06-14,17348.01658818603
1_1_2013-06-21,18033.94745256464
1_1_2013-06-28,19160.93574361495
1_1_2013-07-05,22024.989277069362
1_1_2013-07-12,22741.437792721536
1_1_2013-07-19,17280.647530234095
1_1_2013-07-26,19276.93129640483
1_2_2012-11-02,47958.41431709773
1_2_2012-11-09,48628.008614805934
1_2_2012-11-16,45343.51101779787
1_2_2012-11-23,42201.1130688159
1_2_2012-11-30,47648.87001553146
1_2_2012-12-07,52207.64435579173
1_2_2012-12-14,50738.46322884479
1_2_2012-12-21,57850.58434679894
1_2_2012-12-28,41827.18051148402
1_2_2013-01-04,45901.48507189218
1_2_2013-01-11,44317.127951076895
1_2_2013-01-18,42614.38938155568
1_2_2013-01-25,43004.34279221378
1_2_2013-02-01,52811.63301090229
1_2_2013-02-08,53838.042277421424
1_2_2013-02-15,50897.57810466181
1_2_2013-02-22,51578.20807243823
1_2_2013-03-01,49214.280881010265
1_2_2013-03-08,49401.429112024656
1_2_2013-03-15,48672.07962275699
1_2_2013-03-22,49628.66200726945
1_2_2013-03-29,45564.258817944145
1_2_2013-04-05,48281.845923919806
1_2_2013-04-12,46064.06372617066
1_2_2013-04-19,47255.09802135565
1_2_2013-04-26,44153.44443303268
1_2_2013-05-03,53664.0724272983
1_2_2013-05-10,52730.166570711845
1_2_2013-05-17,53656.490573098075
1_2_2013-05-24,55736.00702413568
1_2_2013-05-31,54380.45525316245
1_2_2013-06-07,53129.189483882576
1_2_2013-06-14,55121.89403455451
1_2_2013-06-21,54693.92564432016
1_2_2013-06-28,53644.261407761405
1_2_2013-07-05,55944.526577651915
1_2_2013-07-12,53724.69460746079
1_2_2013-07-19,52755.263000298495
1_2_2013-07-26,51270.33377033504
1_3_2012-11-02,8344.648410635427
1_3_2012-11-09,7585.060014921467
1_3_2012-11-16,8487.758575151262
1_3_2012-11-23,10887.725984670256
1_3_2012-11-30,10890.025034965476
1_3_2012-12-07,10159.582741598793
1_3_2012-12-14,11964.242826291289
1_3_2012-12-21,14772.061033316442
1_3_2012-12-28,12311.339746297997
1_3_2013-01-04,13838.776461244888
1_3_2013-01-11,12934.394740401725
1_3_2013-01-18,11579.785641708555
1_3_2013-01-25,10272.143528075161
